codcar,carrera
1172,Aplicaciones Tecnológicas de la Energía Solar Fotovoltaica
1068,Comportamiento Humano
1069,Implementación de un Sistema de Gestión de Activos
58,Licenciatura en Ciencia de Datos
1169,Licenciatura en Psicomotricidad
1171,1° Jornadas de Psicopedagogía: La construcción del campo conceptual psicopedagógico
56,Tecnicatura Universitaria en Podología
1177,Diplomatura en Catequetica
180,Licenciatura en Historia - Ciclo de Complementación Curricular
1202,Licenciatura en Fonoaudiología
186,Licenciatura en Entrenamiento Deportivo - Ciclo de Complementación Curricular
1204,Tecnicatura Universitaria en Producción de Bio-Imágenes
363,Procuración
363,Procuración
355,Escribanía
146,Escribanía Ciclo de Complementación Curricular
679,Curso regular anual de coreano
1180,Diplomatura en Cinotécnia Aplicada al Área de Seguridad
1181,Diplomatura en Gestión del Aprendizaje y la Conducta en Caninos
1183,Diplomatura Universitaria en Impuesto a Las Ganancias
1184,Diplomatura Universitaria en Administración Tributaria Provincial y Municipal
1137,Diplomatura en Museología y Curaduría
320,Licenciatura en Teología
1186,Curso de Museología
1187,Curso de Gestión Cultural
187,Licenciatura en Lenguajes Expresivos - Ciclo de Complementación Curricular
186,Licenciatura en Entrenamiento Deportivo - Ciclo de Complementación Curricular
1185,Curso de Postgrado Inclusión Educativa
1052,Introducción a la enseñanza de inglés con fines específicos
1194,Centralidad de la escuela en la prevención de abusos a NNA
1179,"Diplomatura Universitaria en Formulación y Gestión Estratégica
en Bionegocios"
850,Introducción a la enseñanza de inglés con fines específicos (ESP)
1197,Curso de Criminología Corporativa
1207,Método biográfico e Informe Social: Una revisión desde el Trabajo Social
1196,Abordaje de la ESI en Ámbitos Pastorales
1199,"Diplomatura universitaria en intolerancias alimentarias, alergias y enfermedad celiaca"
1209,Diplomatura en Minería Sostenible
1151,"Seminario Análisis institucional, Discurso y Poder"
1152,Seminario Subjetividad Intersubjetividad y lo Social
1213,"Diplomatura en Dimensionamiento, Instalación y Mantenimiento de Equipos Solares"
1206,Curso de Actualización en Enfermedad de Parkinson
1195,Catedra Abierta Derechos Humanos y Justicia Internacional
